,NAME_MUNICIPIO,CODE_SEF-MG,MUNICIPIO
3,ABATIA,001,7401
4,ADRIANOPOLIS,002,7403
5,AGUDOS DO SUL,003,7405
6,ALMIRANTE TAMANDARE,004,7407
7,ALTAMIRA DO PARANA,005,8455
8,ALTO PARAISO,367,5523
9,ALTO PARANA,006,7409
10,ALTO PIQUIRI,007,7411
11,ALTONIA,008,7951
12,ALVORADA DO SUL,009,7413
13,AMAPORA,010,7415
14,AMPERE,011,7417
15,ANAHY,326,5463
16,ANDIRA,012,7419
17,ANGULO,327,5509
18,ANTONINA,013,7421
19,ANTONIO OLINTO,014,7423
20,APUCARANA,015,7425
21,ARAPONGAS,016,7427
22,ARAPOTI,017,7429
23,ARAPUA,370,830
24,ARARUNA,018,7431
25,ARAUCARIA,019,7435
26,ARIRANHA DO IVAI,371,832
27,ASSAI,020,7437
28,ASSIS CHATEAUBRIAND,021,7953
29,ASTORGA,022,7439
30,ATALAIA,023,7441
31,BALSA NOVA,024,7443
32,BANDEIRANTES,025,7445
33,BARBOSA FERRAZ,026,7447
34,BARRA DO JACARE,027,7451
35,BARRACAO,028,7449
36,BELA VISTA DO CAROBA,372,834
37,BELA VISTA DO PARAISO,029,7453
38,BITURUNA,030,7455
39,BOA ESPERANCA,031,7457
40,BOA ESPERANCA DO IGUACU,328,5471
41,BOA VENTURA DE SAO ROQUE,373,836
42,BOA VISTA DA APARECIDA,032,7981
43,BOCAIUVA DO SUL,033,7459
44,BOM JESUS DO SUL,374,838
45,BOM SUCESSO,034,7461
46,BOM SUCESSO DO SUL,329,9979
47,BORRAZOPOLIS,035,7463
48,BRAGANEY,036,7983
49,BRASILANDIA DO SUL,330,5521
50,CAFEARA,037,7465
51,CAFELANDIA,038,7985
52,CAFEZAL DO SUL,331,5491
53,CALIFORNIA,039,7467
54,CAMBARA,040,7469
55,CAMBE,041,7471
56,CAMBIRA,042,7473
57,CAMPINA DA LAGOA,043,7475
58,CAMPINA DO SIMAO,375,840
59,CAMPINA GRANDE DO SUL,044,7477
60,CAMPO BONITO,312,8475
61,CAMPO DO TENENTE,045,7479
62,CAMPO LARGO,046,7481
63,CAMPO MAGRO,376,842
64,CAMPO MOURAO,047,7483
65,CANDIDO DE ABREU,048,7485
66,CANDOI,332,5499
67,CANTAGALO,049,8451
68,CAPANEMA,050,7487
69,CAPITAO LEONIDAS MARQUES,051,7489
70,CARAMBEI,377,844
71,CARLOPOLIS,052,7491
72,CASCAVEL,053,7493
73,CASTRO,054,7495
74,CATANDUVAS,055,7497
75,CENTENARIO DO SUL,056,7499
76,CERRO AZUL,057,7501
77,CEU AZUL,058,7957
78,CHOPINZINHO,059,7503
79,CIANORTE,060,7505
